,Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
0,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,pink,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-pinks/?page=2%2F%3Fpage%3D0%26rpp%3D36
1,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,orange,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-oranges/?page=2%2F%3Fpage%3D0%26rpp%3D36
2,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,red,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-reds/?page=2%2F%3Fpage%3D0%26rpp%3D36
3,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,yellow,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-yellows/?page=2%2F%3Fpage%3D0%26rpp%3D36
4,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,floral,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-florals/?page=2%2F%3Fpage%3D0%26rpp%3D36
5,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,green,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-greens/?page=2%2F%3Fpage%3D0%26rpp%3D36
6,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,blue,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-blues/?page=2%2F%3Fpage%3D0%26rpp%3D36
7,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,purple,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-purples/?page=2%2F%3Fpage%3D0%26rpp%3D36
8,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,neutral,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-neutrals/?page=2%2F%3Fpage%3D0%26rpp%3D36
9,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,gray,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-grays/?page=2%2F%3Fpage%3D0%26rpp%3D36
10,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,brown,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-browns/?page=2%2F%3Fpage%3D0%26rpp%3D36
11,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,nude,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-nude/?page=2%2F%3Fpage%3D0%26rpp%3D36
12,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,lwd,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-lwds/?page=2%2F%3Fpage%3D0%26rpp%3D36
13,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,white,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-whites/?page=2%2F%3Fpage%3D0%26rpp%3D36
14,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,print,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-prints/?page=2%2F%3Fpage%3D0%26rpp%3D36
15,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Color Family,black,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses-in-blacks/?page=2%2F%3Fpage%3D0%26rpp%3D36
16,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Length,cocktail,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?dresslength=cocktail%2F%3Fpage%3D0%26rpp%3D36
17,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Length,maxi,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?dresslength=full-length%2F%3Fpage%3D0%26rpp%3D36
18,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Length,midi,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?dresslength=midi-length%2F%3Fpage%3D0%26rpp%3D36
19,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Length,high low,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?dresslength=high-low%2F%3Fpage%3D0%26rpp%3D36
20,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Length,ballet length,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?dresslength=ballet-length%2F%3Fpage%3D0%26rpp%3D36
21,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Floral Jacquard,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=floral-jacquard%2F%3Fpage%3D0%26rpp%3D36
22,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Tulle,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=tulle%2F%3Fpage%3D0%26rpp%3D36
23,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Organdy,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=organdy%2F%3Fpage%3D0%26rpp%3D36
24,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Soft Tulle,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=soft-tulle%2F%3Fpage%3D0%26rpp%3D36
25,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Crepe,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=crepe%2F%3Fpage%3D0%26rpp%3D36
26,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Lux Chiffon,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=lux-chiffon%2F%3Fpage%3D0%26rpp%3D36
27,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Wool / Nylon,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=wool-nylon%2F%3Fpage%3D0%26rpp%3D36
28,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Maracaine Jersey,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=maracaine-jersey%2F%3Fpage%3D0%26rpp%3D36
29,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Elle Sequin,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=elle-sequin%2F%3Fpage%3D0%26rpp%3D36
30,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Lux Charmeuse,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=lux-charmeuse%2F%3Fpage%3D0%26rpp%3D36
31,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Satin Twill,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=satin-twill%2F%3Fpage%3D0%26rpp%3D36
32,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Lux Jersey,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=lux-jersey%2F%3Fpage%3D0%26rpp%3D36
33,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Lux Velvet,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=lux-velvet%2F%3Fpage%3D0%26rpp%3D36
34,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Whisper Satin,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=whisper-satin%2F%3Fpage%3D0%26rpp%3D36
35,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Luxe Stretch Satin,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=luxe-stretch-satin%2F%3Fpage%3D0%26rpp%3D36
36,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Neu Tulle,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=neu-tulle%2F%3Fpage%3D0%26rpp%3D36
37,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Neu Stretch Charmeuse,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=neu-stretch-charmeuse%2F%3Fpage%3D0%26rpp%3D36
38,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Pleated Metallic,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=pleated-metallic%2F%3Fpage%3D0%26rpp%3D36
39,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Pleated Metallic Gold Foil,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=pleated-metallic-gold-foil%2F%3Fpage%3D0%26rpp%3D36
40,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Trellis 3D Sequin Embroidery,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=trellis-3d-sequin-embroidery%2F%3Fpage%3D0%26rpp%3D36
41,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Ivy Fleur Embroidery,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=ivy-fleur-embroidery%2F%3Fpage%3D0%26rpp%3D36
42,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Baroque Rose Damask,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=baroque-rose-damask%2F%3Fpage%3D0%26rpp%3D36
43,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Gold Leaf Brocade,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=gold-leaf-brocade%2F%3Fpage%3D0%26rpp%3D36
44,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Marguerite Ditsy Jacquard,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=marguerite-ditsy-jacquard%2F%3Fpage%3D0%26rpp%3D36
45,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Pleated Metallic Ombre,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=pleated-metallic-ombre%2F%3Fpage%3D0%26rpp%3D36
46,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Pleated Metallic Harvest Floral,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=pleated-metallic-harvest-floral%2F%3Fpage%3D0%26rpp%3D36
47,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Floret Pearl Sequin,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=floret-pearl-sequin%2F%3Fpage%3D0%26rpp%3D36
48,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Fluid Satin,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=fluid-satin%2F%3Fpage%3D0%26rpp%3D36
49,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Fabric,Luxe Bridal Tweed,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?fabric=luxe-bridal-tweed%2F%3Fpage%3D0%26rpp%3D36
50,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,halter,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?neckline=halter%2F%3Fpage%3D0%26rpp%3D36
51,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,sweetheart,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?neckline=sweetheart%2F%3Fpage%3D0%26rpp%3D36
52,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,round,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?neckline=round%2F%3Fpage%3D0%26rpp%3D36
53,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,v-neck,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?neckline=v-neck%2F%3Fpage%3D0%26rpp%3D36
54,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,scoop,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?neckline=scoop%2F%3Fpage%3D0%26rpp%3D36
55,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,square,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?neckline=square%2F%3Fpage%3D0%26rpp%3D36
56,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,one shoulder,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?neckline=one-shoulder%2F%3Fpage%3D0%26rpp%3D36
57,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,bateau,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?neckline=bateau%2F%3Fpage%3D0%26rpp%3D36
58,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,jewel,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?neckline=jewel%2F%3Fpage%3D0%26rpp%3D36
59,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,illusion,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?style=illusion-front%2F%3Fpage%3D0%26rpp%3D36
60,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,keyhole,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?style=keyhole%2F%3Fpage%3D0%26rpp%3D36
61,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,cowl,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?style=cowl-front%2F%3Fpage%3D0%26rpp%3D36
62,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,notch,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?neckline=notch%2F%3Fpage%3D0%26rpp%3D36
63,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,straight,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?neckline=straight%2F%3Fpage%3D0%26rpp%3D36
64,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,high neck,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?neckline=high-neck%2F%3Fpage%3D0%26rpp%3D36
65,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Neckline,basque neckline,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?neckline=basque%2F%3Fpage%3D0%26rpp%3D36
66,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Silhouette,a-line,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?style=a-line%2F%3Fpage%3D0%26rpp%3D36
67,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Silhouette,drop waist,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?style=drop-waist%2F%3Fpage%3D0%26rpp%3D36
68,Clothing,Women,Western,Dresses and Jumpsuits,Dresses,Silhouette,empire waist,https://dyn.dessy.com/api/fastnav/parseUrl/?countrycode=us&currencycode=USD&addbuckets=displaydessyus&url=%2F/bridesmaid-dresses/?style=empire-waist%2F%3Fpage%3D0%26rpp%3D36
