Attr_Name,Attr_Value,Counts
Color,Animal print,69
Color,Black,2342
Color,Blue,1292
Color,Brown,225
Color,Burgundy,96
Color,Gray,153
Color,Green,715
Color,Metallic,207
Color,Multicolor,157
Color,Neutral,253
Color,Orange,370
Color,Pink,922
Color,Purple,409
Color,Red,409
Color,White,1320
Color,Yellow,353
Considered,All Considered,925
Fabric,Cotton,1758
Fabric,Silk,1350
Fabric,Linen,436
Fabric,Lace,344
Fabric,Wool,340
Fabric,Velvet,160
Fabric,Cashmere,100
Fabric,Denim,96
Fabric,Leather,79
Occasion,Vacation,1687
Occasion,Wedding Guest,1343
Occasion,Evening,1273
Occasion,Party,1226
Occasion,Workwear,351
Occasion,Bridal,170
Type,Asymmetric Dresses,315
Type,Bridal Dresses,173
Type,Bridesmaid Dresses,389
Type,Cocktail And Party Dresses,1264
Type,Embellished Dresses,1134
Type,Embroidered Dresses,211
Type,Evening Dresses,1272
Type,Floral Dresses,1124
Type,Gowns,806
Type,Knee-Length Dresses,584
Type,Knit Dresses,1093
Type,Lace Dresses,420
Type,Leather Dresses,75
Type,Little Black Dresses,829
Type,Maxi Dresses,1581
Type,Midi Dresses,3168
Type,Mini Dresses,2976
Type,Off The Shoulder Dresses,672
Type,Printed Dresses,2467
Type,Shirt Dresses,391
Type,Sleeved Dresses,331
Type,Slip Dresses,90
Type,Summer Dresses,2138
Type,Velvet Dresses,175
Type,Wedding Guest Dresses,1342
Type,Work Dresses,580
Type,Wrap Dresses,218